StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,andrew id,FB use,gender,gender_3_TEXT,age,CTRL old likeliness_NPS_GROUP,CTRL old likeliness,CTRL old NPS_NPS_GROUP,CTRL old NPS,Q386,Logo preference,CUR logo like_NPS_GROUP,CUR logo like,CUR logo NPS_NPS_GROUP,CUR logo NPS,Q388_NPS_GROUP,Q388,Q389_NPS_GROUP,Q389,Q390,Q392,Q393_NPS_GROUP,Q393,Q394_NPS_GROUP,Q394
20-02-2024 13:19,20-02-2024 13:19,IP Address,128.237.82.9,100,35,TRUE,20-02-2024 13:19,R_6EvaUiM9UUgUZ1k,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,jiayingq,3,Female,,24+,Promoter,10,Promoter,10,,Yes,Promoter,9,Promoter,9,,,,,,,,,,
20-02-2024 14:35,20-02-2024 14:37,IP Address,128.237.82.6,100,122,TRUE,20-02-2024 14:37,R_7BSjzqYbHumrcZ8,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,bingjie2,2,Female,,18 - 24,Promoter,10,Promoter,10,color contrast of green and black,No,Promoter,10,Promoter,10,,,,,,,,,,
20-02-2024 14:45,20-02-2024 14:53,IP Address,98.236.13.98,100,465,TRUE,20-02-2024 14:53,R_35SGjIwm8X3KxWT,,,,,40.4325,-79.863,anonymous,EN,0.899999976,johsuant,1,Female,,24+,,,,,,,,,,,Passive,7,Passive,7,It represents Starbucks well,No,Detractor,6,Detractor,6
20-02-2024 15:03,20-02-2024 15:04,IP Address,128.237.82.2,100,64,TRUE,20-02-2024 15:04,R_70PdIAKNfd84jaZ,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,xiyiw,3,Female,,18 - 24,,,,,,,,,,,Passive,7,Detractor,5,,No,Detractor,4,Passive,7
20-02-2024 15:04,20-02-2024 15:05,IP Address,74.109.240.243,100,60,TRUE,20-02-2024 15:05,R_5Dy5PXhvIVG8qm5,,,,,40.4725,-79.9109,anonymous,EN,0.899999976,yefanx,1,Female,,18 - 24,Passive,7,Passive,8,classic,No,Passive,7,Passive,7,,,,,,,,,,
20-02-2024 15:43,20-02-2024 15:44,IP Address,98.236.219.231,100,38,TRUE,20-02-2024 15:44,R_7FPxJm6Yh6wzIql,,,,,40.4965,-80.206,anonymous,EN,1,yujiawei,1,Female,,18 - 24,,,,,,,,,,,Detractor,5,Detractor,5,color,No,Detractor,5,Detractor,6
20-02-2024 15:47,20-02-2024 15:47,IP Address,128.237.82.2,100,40,TRUE,20-02-2024 15:47,R_5nxdwrEZ9A0B0gm,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,minyangw,2,Male,,18 - 24,Passive,8,Detractor,4,,Yes,Passive,8,Detractor,6,,,,,,,,,,
20-02-2024 16:18,20-02-2024 16:19,IP Address,71.182.176.52,100,52,TRUE,20-02-2024 16:19,R_1MhhhTc2LBxMPyk,,,,,40.473,-79.9537,anonymous,EN,1,xuewang,3,Female,,18 - 24,,,,,,,,,,,Promoter,10,Promoter,10,I like green,No,Detractor,0,Detractor,0
20-02-2024 17:23,20-02-2024 17:25,IP Address,128.237.82.12,100,128,TRUE,20-02-2024 17:26,R_18MabZD0SQo3VtM,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,faraz,1,Male,,24+,Promoter,10,Passive,7,the color and design is simple yet effective to capture my interest,Yes,Detractor,6,Detractor,2,,,,,,,,,,
20-02-2024 19:11,20-02-2024 19:12,IP Address,71.199.100.129,100,29,TRUE,20-02-2024 19:12,R_1BGyGKtujE6zGjT,,,,,40.4056,-80.1853,anonymous,EN,1,jinyuanr,2,Female,,18 - 24,Detractor,6,Detractor,4,,Yes,Passive,7,Passive,8,,,,,,,,,,
20-02-2024 20:14,20-02-2024 20:16,IP Address,128.237.82.4,100,78,TRUE,20-02-2024 20:16,R_64cR4VLKww6bTz3,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,zehaol,1,Male,,18 - 24,,,,,,,,,,,Detractor,6,Detractor,5,nothing,Yes,Promoter,10,Passive,7
20-02-2024 20:21,20-02-2024 20:22,IP Address,72.77.26.95,100,36,TRUE,20-02-2024 20:22,R_1h4m4DRyWn53qW4,,,,,40.4725,-79.9109,anonymous,EN,1,qzhou2,1,Male,,24+,,,,,,,,,,,Detractor,5,Detractor,5,color,Yes,Detractor,4,Detractor,6
20-02-2024 20:46,20-02-2024 20:46,IP Address,76.120.151.225,100,40,TRUE,20-02-2024 20:46,R_1k7CrMFj5uhrlwR,,,,,40.4325,-79.863,anonymous,EN,1,yujuy,1,Female,,18 - 24,Passive,8,Detractor,0,,Yes,Promoter,10,Detractor,0,,,,,,,,,,
20-02-2024 22:17,20-02-2024 22:18,IP Address,73.174.16.160,100,34,TRUE,20-02-2024 22:18,R_3CEbqwch3edj9HX,,,,,40.4236,-79.9825,anonymous,EN,1,jzhao3,1,Male,,18 - 24,,,,,,,,,,,Promoter,9,Detractor,6,,No,Detractor,6,Detractor,5
20-02-2024 17:41,20-02-2024 23:03,IP Address,52.124.41.233,100,19328,TRUE,20-02-2024 23:03,R_6eeqyAryvXbcnAo,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,zianp,2,Male,,18 - 24,Passive,8,Passive,8,It's simple,Yes,Passive,8,Passive,8,,,,,,,,,,
21-02-2024 08:38,21-02-2024 08:39,IP Address,98.236.219.8,100,92,TRUE,21-02-2024 08:39,R_58NCwANDyRkJPNQ,,,,,40.4965,-80.206,anonymous,EN,1,xiaoyunc,3,Female,,18 - 24,Passive,7,Detractor,1,The name is clear.,No,Detractor,6,Detractor,1,,,,,,,,,,
21-02-2024 10:42,21-02-2024 10:44,IP Address,71.195.73.92,100,104,TRUE,21-02-2024 10:44,R_5SfWLK2N3wDZnXj,,,,,40.4056,-80.1853,anonymous,EN,0.899999976,kbiswal,1,Female,,24+,,,,,,,,,,,Passive,7,Detractor,6,,Yes,Passive,8,Passive,8
21-02-2024 10:59,21-02-2024 11:00,IP Address,128.2.149.230,100,66,TRUE,21-02-2024 11:00,R_7EzLXRpvfZ5eeHC,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,kaiqihu,3,Female,,18 - 24,,,,,,,,,,,Passive,8,Detractor,5,"ugh i don't know, i don't hate it ig",No,Detractor,5,Detractor,5
21-02-2024 13:38,21-02-2024 13:40,IP Address,73.174.124.107,100,115,TRUE,21-02-2024 13:40,R_7Aky6OE0qG4XRRL,,,,,40.4324,-79.9247,anonymous,EN,1,swathir,1,Female,,24+,Passive,7,Passive,7,Color and design,Yes,Detractor,6,Passive,7,,,,,,,,,,
21-02-2024 15:52,21-02-2024 15:52,IP Address,128.237.82.11,100,55,TRUE,21-02-2024 15:52,R_6m7tm8r26OcS4Lz,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,xouyang,3,Female,,18 - 24,,,,,,,,,,,Passive,7,Detractor,3,color,Yes,Detractor,6,Detractor,1
21-02-2024 15:58,21-02-2024 15:58,IP Address,128.237.82.7,100,46,TRUE,21-02-2024 15:58,R_7CC778GDu56rJg5,,,,,40.4442,-79.9557,anonymous,EN,1,schen5,1,Female,,18 - 24,Detractor,6,Detractor,5,,No,Passive,7,Passive,7,,,,,,,,,,
21-02-2024 15:58,21-02-2024 15:59,IP Address,128.237.82.14,100,66,TRUE,21-02-2024 15:59,R_7zSlkaOwPoQ1nek,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,jingyuch,1,Female,,18 - 24,,,,,,,,,,,Promoter,9,Promoter,9,"color, design",No,Detractor,5,Detractor,2
21-02-2024 16:06,21-02-2024 16:08,IP Address,128.237.82.12,100,95,TRUE,21-02-2024 16:08,R_1gi6A8vmU68Pogp,,,,,40.4442,-79.9557,anonymous,EN,1,fumanx,1,Female,,24+,Passive,8,Passive,7,Color,No,Passive,8,Detractor,6,,,,,,,,,,
21-02-2024 16:20,21-02-2024 16:21,IP Address,71.182.186.213,100,43,TRUE,21-02-2024 16:21,R_6l5bG2SKKnxF2kx,,,,,40.4488,-79.9951,anonymous,EN,0.899999976,jingxuas,2,Male,,18 - 24,,,,,,,,,,,Detractor,5,Detractor,5,,No,Detractor,5,Detractor,5
21-02-2024 16:32,21-02-2024 16:33,IP Address,128.237.82.7,100,64,TRUE,21-02-2024 16:33,R_6nTRUZ3axmAklUP,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,shuleig,1,Female,,18 - 24,Detractor,5,Detractor,5,,No,Detractor,6,Detractor,6,,,,,,,,,,
21-02-2024 21:06,21-02-2024 21:08,IP Address,128.237.82.11,100,120,TRUE,21-02-2024 21:08,R_5CdxS4ISDVLebYx,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,jiuyuanx,5+,Male,,24+,,,,,,,,,,,Promoter,9,Promoter,9,beauty and fashion,No,Detractor,2,Detractor,3
21-02-2024 22:36,21-02-2024 22:38,IP Address,74.111.100.23,100,106,TRUE,21-02-2024 22:38,R_5MrOtDD7bzub9wl,,,,,40.4324,-79.9247,anonymous,EN,1,shuyanz,1,Female,,24+,Detractor,5,Detractor,5,,No,Detractor,6,Detractor,5,,,,,,,,,,
21-02-2024 23:29,21-02-2024 23:31,IP Address,74.111.97.243,100,103,TRUE,21-02-2024 23:31,R_1fE6O3P45kajYgY,,,,,40.4324,-79.9247,anonymous,EN,1,niharikp,1,Female,,24+,Promoter,10,Passive,7,"Boldness, color theme",Yes,Passive,7,Detractor,5,,,,,,,,,,
21-02-2024 23:33,21-02-2024 23:34,IP Address,71.60.117.109,100,74,TRUE,21-02-2024 23:34,R_5VsWHyPCxPn1z5S,,,,,40.4324,-79.9247,anonymous,EN,0.899999976,mholquis,1,Female,,18 - 24,,,,,,,,,,,Detractor,5,Detractor,5,,No,Detractor,0,Detractor,5
22-02-2024 00:59,22-02-2024 01:06,IP Address,98.236.218.30,100,417,TRUE,22-02-2024 01:06,R_6i9j9dRUTTXWiD7,,,,,40.4965,-80.206,anonymous,EN,0.899999976,tongrenc,1,Male,,18 - 24,,,,,,,,,,,Promoter,10,Promoter,10,I am familiar with it so I very like it,No,Detractor,0,Detractor,0
22-02-2024 01:13,22-02-2024 01:14,IP Address,98.236.218.30,100,42,TRUE,22-02-2024 01:14,R_7ziUaoOGDL2CDW9,,,,,40.4965,-80.206,anonymous,EN,1,yuwenm,1,Female,,18 - 24,Detractor,5,Detractor,5,The design,No,Detractor,5,Detractor,5,,,,,,,,,,
22-02-2024 11:20,22-02-2024 11:41,IP Address,128.237.82.10,100,1273,TRUE,22-02-2024 11:41,R_3kULXkFfNDUKBkB,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,hibah,1,Female,,24+,Detractor,5,Detractor,2,clarity,Yes,Detractor,4,Detractor,3,,,,,,,,,,
22-02-2024 17:07,22-02-2024 17:12,IP Address,128.237.82.6,100,314,TRUE,22-02-2024 17:12,R_5xVJT4wotNVyEo6,,,,,40.4442,-79.9557,anonymous,EN,0.800000012,chiahsuh,2,Female,,24+,,,,,,,,,,,Passive,8,Passive,7,The signature green color,Yes,Promoter,9,Promoter,9
22-02-2024 17:11,22-02-2024 17:13,IP Address,166.198.21.45,100,73,TRUE,22-02-2024 17:13,R_6yqGVwDhnXhFWCN,,,,,39.9587,-82.9987,anonymous,EN,0.899999976,Rpdavid,2,Male,,18 - 24,,,,,,,,,,,Promoter,9,Detractor,2,It’s Dope,No,Passive,8,Detractor,1
22-02-2024 17:25,22-02-2024 17:26,IP Address,128.237.82.1,100,58,TRUE,22-02-2024 17:26,R_7EstuOoLVhatfIR,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,skallaha,3,Male,,18 - 24,Promoter,10,Promoter,9,"colour code , design ",Yes,Promoter,10,Promoter,10,,,,,,,,,,
22-02-2024 17:46,22-02-2024 17:49,IP Address,128.237.82.1,100,153,TRUE,22-02-2024 17:49,R_7OH7sL5byIdOylz,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,saahash@andrew.cmu.edu,2,Male,,18 - 24,,,,,,,,,,,Detractor,1,Detractor,0,"Nothing. The logo, for me at least, is irrelevant to the company and its products. I actually don't associate the logo with Starbucks, rather I associate its black and green trademark colors with the company.",Yes,Detractor,2,Detractor,2
22-02-2024 21:09,22-02-2024 21:11,IP Address,74.111.97.243,100,86,TRUE,22-02-2024 21:11,R_1gYbuFe6mUiJHDH,,,,,40.4324,-79.9247,anonymous,EN,1,ashetty3,1,Female,,24+,Promoter,10,Detractor,6,It was unique loved the mermaid ,No,Promoter,9,Passive,7,,,,,,,,,,
22-02-2024 21:11,22-02-2024 21:13,IP Address,98.239.202.159,100,111,TRUE,22-02-2024 21:13,R_6g5C9hS2sBuYP5n,,,,,40.4965,-80.206,anonymous,EN,1,usr,1,Female,,24+,Detractor,5,Detractor,6,the inner round circle,Yes,Detractor,2,Detractor,1,,,,,,,,,,
